date,title,amount
2025-05-11,Uber - NuPay,-28.18
2025-05-11,Uber - NuPay,28.18
2025-05-10,Uber - NuPay,9.93
2025-05-10,Uber - NuPay,13.99
2025-05-09,Uber - NuPay,10.95
2025-05-08,Uber - NuPay,9.28
2025-05-07,Uber - NuPay,9.66
2025-05-07,Pagamento recebido,-746.73
2025-05-06,Drogasil2184,16.80
2025-05-06,Uber - NuPay,9.35
2025-05-04,99*,13.86
2025-05-04,Uber - NuPay,11.91
2025-05-04,Uber - NuPay,8.50
2025-05-03,Mercearia D R C,7.00
2025-05-02,Uber - NuPay,11.55
2025-05-01,Gr Bernardes Pizzas,84.00
2025-05-01,Uber - NuPay,12.26
2025-04-30,99*,11.44
2025-04-30,Beatriz Ultra Popular,21.23
2025-04-30,Lol Cc,4.00
2025-04-29,Lol 3q,6.00
2025-04-29,Uber - NuPay,11.26
2025-04-29,Lol Cc,3.00
2025-04-29,Lol Cc,9.50
2025-04-28,Uber - NuPay,10.36
2025-04-28,Rosangelamacedoso,8.50
2025-04-28,Uber - NuPay,9.18
2025-04-28,Europaes Padaria e Con,9.30
2025-04-28,Uber - NuPay,-10.36
2025-04-27,Lupasteis,13.00
2025-04-27,Uber - NuPay,12.69
2025-04-27,Lupasteis,18.00
2025-04-26,Lol Cc,4.00
2025-04-24,Uber - NuPay,10.85
2025-04-24,Panificadora Distribui,8.00
2025-04-24,Mp *Noka,5.00
2025-04-23,Panificadora Distribui,8.00
2025-04-23,Uber - NuPay,11.44
2025-04-23,Uber - NuPay,-11.75
2025-04-23,Uber - NuPay,11.75
2025-04-23,Mp *Noka,5.00
2025-04-22,Uber - NuPay,11.74
2025-04-20,Thalitaumbelino,100.00
2025-04-18,Master Copias,1.05
2025-04-18,Lol Cc,4.00
2025-04-17,Uber - NuPay,-15.95
2025-04-17,Uber - NuPay,14.59
2025-04-17,Uber - NuPay,15.95
2025-04-16,Uber - NuPay,13.90
2025-04-16,Uber - NuPay,-13.90
2025-04-16,Panificadora Distribui,17.00
2025-04-16,Lol 3q,9.50
2025-04-15,Genilsonbatista,10.00
2025-04-15,Noka,5.00
2025-04-15,Uber - NuPay,10.94
2025-04-15,Drogalider,65.90
2025-04-14,Ifd*36.251.948 Rafael,18.98
2025-04-14,Celina Restaurante e C,41.75
2025-04-13,Openrouter Inc,34.45
2025-04-13,"IOF de ""Openrouter Inc""",1.16
2025-04-13,Uber - NuPay,12.55
2025-04-13,Pagamento recebido,-474.71
2025-04-12,Uber - NuPay,-13.21
2025-04-12,Adega da Villa,18.50
2025-04-12,Noka,5.00
