date,title,amount
2026-03-03,Genilsonbatista,12.00
2026-03-03,99*,16.00
2026-03-01,Casa de Carnes Ponto N,111.60
2026-02-28,Wellhub Kelwin Tobias,69.99
2026-02-28,Bar Petisco do Leao,12.00
2026-02-28,Restaurante Mgm,13.00
2026-02-28,Whj Bar e Restaurante,43.64
2026-02-28,Tenda do Cafe,9.00
2026-02-27,99*,10.00
2026-02-27,Lol Comercio Ii,2.50
2026-02-27,Barbearia Area Vip,60.00
2026-02-27,Supermercado,9.50
2026-02-27,99*,16.00
2026-02-27,Adega,19.00
2026-02-26,99*,9.70
2026-02-24,Adega,20.00
2026-02-24,99*,7.95
2026-02-24,Genilsonbatista,80.00
2026-02-24,99*,5.92
2026-02-24,Lol Comercio Ii,3.00
2026-02-24,Lol Comercio Ii,4.00
2026-02-21,Dl*Google Youtub,16.90
2026-02-21,Supermercado,4.28
2026-02-20,Supermercado,2.06
2026-02-20,Supermercado,4.99
2026-02-19,"IOF de ""Claude.Ai Subscription""",4.01
2026-02-19,Claude.Ai Subscription,114.60
2026-02-18,Cappta *Uberlandia Cer,16.50
2026-02-18,99*,8.24
2026-02-18,Mercado do Japones,2.50
2026-02-18,Dms Agro,15.90
2026-02-17,Ifd*Mile Restaurante L,42.95
2026-02-16,Metis e*Rf3 Bar e Even,30.00
2026-02-16,Adega da Villa,20.00
2026-02-16,99*,19.20
2026-02-15,Vanz Pastel,18.50
2026-02-14,Vshop,42.11
2026-02-14,Mp *Noka,5.50
2026-02-14,Amioespetaria,22.77
2026-02-14,99*,11.40
2026-02-14,Pop 12fev 21h24min,15.38
2026-02-14,99*,10.70
2026-02-13,Precito Atacado,75.65
2026-02-13,Jose Luiz,20.60
2026-02-13,Adega,4.00
2026-02-13,Mp *Noka,11.00
2026-02-13,Jhonkevennycruz,10.00
2026-02-13,Facebk* Mrp6cfr9g2,32.08
2026-02-13,99*,9.60
2026-02-13,99*,9.22
2026-02-12,Mp *Noka,5.50
2026-02-12,Barbearia Area Vip,55.00
2026-02-12,Lol Comercio Iii,4.00
2026-02-11,Supermercado,3.23
2026-02-11,Supermercado,6.99
2026-02-10,Supermercado,7.94
2026-02-10,Ebn *Tiktok Shop,34.79
2026-02-09,Boaventura Pasteis,28.00
2026-02-09,Constelacao Convenienc,3.75
2026-02-09,99*,9.90
2026-02-09,99*,20.70
2026-02-08,Acla Desenvolvimento H,10.00
2026-02-08,99*,13.80
2026-02-08,Acla Desenvolvimento H,10.00
2026-02-08,99*,18.50
2026-02-08,Adega,26.00
2026-02-07,Adega,4.00
2026-02-07,99*,9.81
2026-02-07,Cozinha Mineira,19.00
2026-02-07,Adega,4.00
2026-02-07,Ifd*Totem Bate Burger,48.00
2026-02-07,Arquibancada Sports Ba,15.00
2026-02-06,Applecombill,5.90
2026-02-06,Adega da Villa,20.00
2026-02-06,58889428aldimeire - Parcela 1/2,55.00
2026-02-06,Supermercado,2.19
2026-02-06,Supermercado,4.44
2026-02-06,Supermercado,19.98
2026-02-06,Adega da Villa,15.00
2026-02-04,Kvn*Assinatura Semestr - Parcela 4/5,127.49
2026-02-04,Verdao do Triangulo - Parcela 2/3,66.66
2026-02-04,99*,8.84
