date,title,amount
2025-12-03,Panificadora Distribui,4.00
2025-12-03,99*,10.50
2025-12-03,Panificadora Distribui,17.00
2025-12-03,99*,13.90
2025-12-03,Panificadora Distribui,5.00
2025-12-02,99*,5.80
2025-12-02,Estorno de Uber - NuPay,12.92
2025-12-02,Panificadora Distribui,20.00
2025-12-02,99*,23.10
2025-12-02,Pagamento recebido,-1873.37
2025-12-02,Beatriz Ultra Popular,8.99
2025-12-02,Estorno de Uber - NuPay,-12.92
2025-12-01,Duoticketltda,61.00
2025-11-29,99*,10.60
2025-11-29,Vitoriadesouza,13.50
2025-11-29,99*,5.80
2025-11-29,99*,10.80
2025-11-29,99*,5.40
2025-11-29,99*,17.10
2025-11-29,Panificadora Distribui,25.00
2025-11-28,Wellhub Gympass Br Gym,59.90
2025-11-28,Panificadora Distribui,3.00
2025-11-28,Lol Cc,3.00
2025-11-28,Adega da Villa,11.00
2025-11-28,Hype 1000 Comercio de - Parcela 1/2,60.00
2025-11-27,Panificadora Distribui,6.00
2025-11-27,99*,8.24
2025-11-27,Lol Comercio Ii,6.00
2025-11-26,99*,9.26
2025-11-26,Panificadora Distribui,20.00
2025-11-26,Panificadora Distribui,6.00
2025-11-25,99*,9.35
2025-11-25,Panificadora Distribui,10.00
2025-11-25,Lol 3q,3.00
2025-11-24,99*,8.40
2025-11-24,Supermercado,7.99
2025-11-24,Estorno de Uber - NuPay,-9.52
2025-11-24,Estorno de Uber - NuPay,9.52
2025-11-23,99*,9.10
2025-11-23,Adega,10.50
2025-11-23,Supermercado,53.27
2025-11-23,Supermercado,8.93
2025-11-22,99*,11.20
2025-11-22,Apollo Onze,5.00
2025-11-22,Supermercado,11.07
2025-11-22,Panificadora Distribui,11.00
2025-11-22,Panificadora Distribui,10.90
2025-11-22,Beatriz Ultra Popular,25.64
2025-11-22,99*,9.18
2025-11-21,99*,7.56
2025-11-21,Estorno de Uber - NuPay,14.20
2025-11-21,Adega,12.00
2025-11-21,Apollo Onze,6.00
2025-11-21,Apollo Onze,6.00
2025-11-21,Supermercado,12.18
2025-11-21,Apollo Onze,6.00
2025-11-21,Apollo Onze,6.00
2025-11-21,Apollo Onze,6.00
2025-11-21,Estorno de Uber - NuPay,-14.20
2025-11-20,Santa Cana Restaurante,102.70
2025-11-20,Panificadora Distribui,19.50
2025-11-20,Lol Comercio Iii,4.25
2025-11-19,99*,17.92
2025-11-19,Lol Comercio Ii,4.00
2025-11-19,99*,11.47
2025-11-19,Panificadora Distribui,19.50
2025-11-18,Lol Cc,6.50
2025-11-18,Estorno de Uber - NuPay,14.92
2025-11-18,Estorno de Uber - NuPay,-14.92
2025-11-18,Estorno de Uber - NuPay,-14.96
2025-11-18,Estorno de Uber - NuPay,14.96
2025-11-17,99*,55.40
2025-11-17,Metis e*Arq Producoes,11.00
2025-11-17,Metis e*Arq Producoes,5.00
2025-11-17,99*,62.00
2025-11-17,Metis e*Arq Producoes,11.00
2025-11-16,Estorno de Uber - NuPay,36.98
2025-11-16,Lu Pasteis,27.50
2025-11-16,Armazem S e M,9.50
2025-11-16,Estorno de Uber - NuPay,-36.98
2025-11-16,99*,10.70
2025-11-15,Pauapiquequintal,15.00
2025-11-15,Panificadora Distribui,17.00
2025-11-15,Barbearia Area Vip,55.00
2025-11-15,99*,14.80
2025-11-15,iFood - NuPay,29.99
2025-11-15,Divina Coxinha,7.00
2025-11-14,Nokadoartesan,5.00
2025-11-14,99*,10.60
2025-11-13,Panificadora Distribui,17.00
2025-11-13,99*,13.50
2025-11-13,Panificadora Distribui,11.80
2025-11-13,Lol 3q,6.50
2025-11-13,Lara Xavier Resende - Parcela 1/3,93.34
2025-11-12,99*,12.20
2025-11-12,Lol Comercio Ii,4.00
2025-11-12,Panificadora Distribui,20.00
2025-11-11,99*,8.40
2025-11-11,Panificadora Distribui,8.00
2025-11-10,Supermercado,15.98
2025-11-09,Trae,55.71
2025-11-09,"IOF de ""Trae""",1.94
2025-11-08,Lol Comercio Iii,5.00
2025-11-08,Supermercado,14.98
2025-11-08,Panificadora Distribui,10.00
2025-11-08,99*,19.50
2025-11-07,99*,13.60
2025-11-07,Kvn*Assinatura Semestr - Parcela 1/5,127.49
2025-11-07,Estorno de Uber - NuPay,19.94
2025-11-07,Estorno de Uber - NuPay,-19.94
2025-11-07,Panificadora Distribui,19.50
2025-11-06,Supermercado,10.02
2025-11-06,Habib'S,47.08
2025-11-06,Apple.Com/Bill,5.90
2025-11-06,Panificadora Distribui,6.00
2025-11-05,99*,11.40
2025-11-05,Lol,8.50
2025-11-05,Drogasil2184,14.63
2025-11-05,Panificadora Distribui,17.00
2025-11-05,Lol 3q,6.00
2025-11-04,Pagamento recebido,-1014.67
2025-11-04,Lol Comercio Ii,6.00
2025-11-04,Panificadora Distribui,16.00
2025-11-04,Duoticket - Parcela 2/2,34.60
2025-11-04,99*,9.70
