date,title,amount
2025-08-03,Vanz Pasteis,40.00
2025-08-02,Panificadora Distribui,20.00
2025-08-02,Panificadora Distribui,9.50
2025-08-01,99*,13.30
2025-08-01,Lol Comercio Ii,6.00
2025-08-01,Uber - NuPay,12.77
2025-08-01,Lol Comercio Iii,7.00
2025-07-31,Pagamento recebido,-150.00
2025-07-31,99*,12.20
2025-07-31,Lol Comercio Iii,2.00
2025-07-31,Uber - NuPay,10.00
2025-07-31,99*,12.90
2025-07-30,Mp *Noka,5.00
2025-07-30,Supermercado,21.00
2025-07-30,Lol Comercio Ii,6.00
2025-07-30,Mercadim,5.99
2025-07-29,Uber - NuPay,-14.07
2025-07-29,Uber - NuPay,14.07
2025-07-29,99*,13.30
2025-07-29,Genilsonbatista,12.00
2025-07-28,Pagamento recebido,-107.00
2025-07-28,Cursor Ai Powered Ide,115.29
2025-07-28,"IOF de ""Cursor Ai Powered Ide""",4.03
2025-07-26,Panificadora Distribui,34.00
2025-07-26,99*,14.70
2025-07-26,Mercadim,7.99
2025-07-26,Mercadim,16.98
2025-07-26,Lol Comercio Ii,2.00
2025-07-25,Lol Comercio Ii,2.00
2025-07-25,99*,10.80
2025-07-24,Uber - NuPay,9.49
2025-07-24,99*,11.30
2025-07-23,Lol Comercio Ii,2.00
2025-07-22,Lol Comercio Iii,3.00
2025-07-22,Mercadim,4.99
2025-07-22,Mercadim,4.99
2025-07-22,99*,10.10
2025-07-21,Uber - NuPay,4.27
2025-07-21,Uber - NuPay,8.76
2025-07-19,Mercadim,4.99
2025-07-19,Pamonha do Ti Guila,17.00
2025-07-18,Mercadim,7.99
2025-07-18,Uber - NuPay,11.27
2025-07-18,Uber - NuPay,-9.74
2025-07-18,Uber - NuPay,10.78
2025-07-18,Uber - NuPay,9.74
2025-07-18,Panificadora Distribui,4.00
2025-07-18,Uber - NuPay,-11.27
2025-07-17,Panificadora Distribui,22.00
2025-07-17,Uber - NuPay,8.54
2025-07-17,Panificadora Distribui,4.00
2025-07-16,Lol Comercio Ii,6.00
2025-07-16,Uber - NuPay,9.09
2025-07-15,Noka,5.00
2025-07-15,99*,14.11
2025-07-15,99*,10.60
2025-07-15,Mercadim,4.99
2025-07-14,Uber - NuPay,11.57
2025-07-14,Uber - NuPay,-11.57
2025-07-13,Duoticketltda,12.00
2025-07-13,Dville Santa Monica,2.49
2025-07-13,Hype 1000 Comercio de,80.00
2025-07-13,Lupasteis,15.00
2025-07-13,Uber - NuPay,15.94
2025-07-12,Jantinha da Caca,201.00
2025-07-12,Lol Comercio Ii,6.00
2025-07-12,Mp *Adegajm,12.00
2025-07-12,Adegajm,4.00
2025-07-12,Lol Comercio Iii,4.00
2025-07-12,Uber - NuPay,6.38
2025-07-12,Barbearia Area Vip,35.00
2025-07-11,Hyallis Lazaro Guimaraes,21.59
2025-07-11,Panificadora Distribui,8.00
2025-07-11,99*,12.40
2025-07-11,Mercadim,2.49
2025-07-11,Lol Comercio Iii,8.50
2025-07-10,Mcdonalds,69.80
2025-07-10,Cozinha Mineira,14.00
2025-07-09,99*,10.64
2025-07-09,Lol Cc,4.00
2025-07-09,Mercadim,9.98
2025-07-09,Uber - NuPay,14.27
2025-07-09,Uber - NuPay,-14.27
2025-07-08,99*,13.51
2025-07-08,Genilsonbatista,12.00
2025-07-08,Lol Comercio Ii,9.50
2025-07-08,Mercadim,8.48
2025-07-07,Esterlucia,17.00
2025-07-06,Supermercado,16.06
2025-07-06,Apollo Onze,6.00
2025-07-06,Uber - NuPay,14.19
2025-07-06,Apollo Onze,6.00
2025-07-06,Apolloonze,6.00
2025-07-06,Apollo Onze,6.00
2025-07-06,Apolloonze,6.00
2025-07-06,Apolloonze,6.00
2025-07-06,iFood - NuPay,0.99
2025-07-06,Adega,12.00
2025-07-05,Lol Cc,4.00
2025-07-05,Fast Cell,39.90
2025-07-05,Lol Comercio Ii,6.00
2025-07-05,99*,13.90
2025-07-04,Lol Comercio Ii,2.00
2025-07-04,Pagamento recebido,-26.70
