date,title,amount
2025-06-11,Uber - NuPay,11.76
2025-06-11,Pagamento recebido,-863.40
2025-06-11,99* 99*,14.10
2025-06-10,Lol Comercio Ii,4.00
2025-06-10,99* 99*,14.00
2025-06-07,99* 99*,12.80
2025-06-07,Panificadora Distribui,20.00
2025-06-05,Uber - NuPay,9.79
2025-06-04,Uber - NuPay,9.94
2025-06-03,Uber - NuPay,9.23
2025-06-03,Uber - NuPay,-9.23
2025-06-03,Uber - NuPay,9.23
2025-06-03,Panificadora Distribui,8.00
2025-06-03,Panificadora Distribui,8.00
2025-06-02,Uber - NuPay,8.99
2025-06-01,Rapidao Lanches,57.00
2025-05-30,Panificadora Distribui,8.00
2025-05-30,Panificadora Distribui,23.00
2025-05-30,Uber - NuPay,9.61
2025-05-29,Uber - NuPay,11.43
2025-05-28,Uber - NuPay,10.95
2025-05-27,Uber - NuPay,9.94
2025-05-27,Genilsonbatista,36.00
2025-05-26,Uber - NuPay,11.30
2025-05-24,Panificadora Distribui,17.00
2025-05-23,Uber - NuPay,9.72
2025-05-23,Apple.Com/Bill,4.90
2025-05-23,Apple.Com/Bill,96.90
2025-05-22,Uber - NuPay,9.21
2025-05-22,Uber - NuPay,9.21
2025-05-22,Uber - NuPay,-9.21
2025-05-21,Panificadora Distribui,17.00
2025-05-21,Uber - NuPay,9.67
2025-05-20,Panificadora Distribui,8.00
2025-05-20,Nelson Samuel Silva Teixeira,17.21
2025-05-20,Uber - NuPay,11.95
2025-05-20,Panificadora Distribui,19.00
2025-05-20,Mateus Xavier Carvalho,17.34
2025-05-19,Uber - NuPay,10.86
2025-05-19,Genilsonbatista,12.00
2025-05-19,99*,5.30
2025-05-18,Walissonhenriquec,6.00
2025-05-18,Adega,8.00
2025-05-18,Adega,5.50
2025-05-18,Adega,10.00
2025-05-18,Walissonhenriquec,6.00
2025-05-17,Raia Drogasil - NuPay,-19.39
2025-05-17,Adega,15.00
2025-05-17,Arquibancada,15.00
2025-05-17,Raia Drogasil - NuPay,32.59
2025-05-17,Raia Drogasil - NuPay,19.39
2025-05-16,Uber - NuPay,5.63
2025-05-16,Panificadora Distribui,22.50
2025-05-16,Panificadora Distribui,8.00
2025-05-16,Uber - NuPay,8.58
2025-05-16,Uber - NuPay,14.95
2025-05-15,Uber - NuPay,11.53
2025-05-15,Mercadim,4.99
2025-05-14,Uber - NuPay,12.90
2025-05-13,Panificadora Distribui,8.00
2025-05-13,Uber - NuPay,11.74
2025-05-13,Brazao Copias e Servic,2.00
2025-05-12,Uber - NuPay,6.67
2025-05-12,Supermercado,58.07
2025-05-12,Pagamento recebido,-53.81
2025-05-12,Meep Pa*Flash Light Ne,6.00
2025-05-12,Uber - NuPay,9.84
