date,title,amount
2025-09-03,Pagamento recebido,-955.63
2025-09-03,Noka,5.00
2025-09-03,Mercadim,1.49
2025-09-03,Lol Comercio Ii,2.00
2025-09-03,Mercadim,3.99
2025-09-03,99*,9.80
2025-09-03,Uber - NuPay,9.88
2025-09-03,99*,13.80
2025-09-02,99*,16.30
2025-09-02,99*,6.90
2025-09-02,Mercadim,5.99
2025-09-02,Lol Comercio Ii,2.00
2025-09-01,99*,9.60
2025-09-01,99*,13.92
2025-09-01,Descpay,39.00
2025-09-01,99*,19.20
2025-09-01,Descpay,26.00
2025-09-01,Pop 31ago 00h23min,7.67
2025-08-31,99*,13.40
2025-08-31,Pagamento recebido,-125.00
2025-08-31,Arquibancada,15.00
2025-08-30,Mercadim,4.99
2025-08-30,Lol Comercio Iii,11.00
2025-08-30,Lol Comercio Ii,6.00
2025-08-29,Cursor Ai Powered Ide,116.95
2025-08-29,Estorno de Uber - NuPay,-12.64
2025-08-29,Estorno de Uber - NuPay,12.64
2025-08-29,99*,14.50
2025-08-29,"IOF de ""Cursor Ai Powered Ide""",4.09
2025-08-28,99*,13.80
2025-08-28,Mercadim,4.99
2025-08-27,Lol Comercio Ii,2.00
2025-08-27,99*,10.20
2025-08-27,Panificadora Distribui,17.00
2025-08-26,Genilsonbatista,12.00
2025-08-26,Lol Comercio Ii,6.00
2025-08-26,Pagamento recebido,-250.00
2025-08-26,Lol Comercio Ii,9.50
2025-08-25,99*,8.80
2025-08-25,99*,5.30
2025-08-25,99*,13.90
2025-08-25,Adegajm,4.50
2025-08-24,Cristiano Pereira da S,6.00
2025-08-24,Beatriz Ultra Popular,18.05
2025-08-24,Carrefour Ubl,23.58
2025-08-23,Uber - NuPay,7.53
2025-08-23,Mercadim,5.99
2025-08-23,Adegajm,9.00
2025-08-23,Lol Cc,4.00
2025-08-23,Panificadora Distribui,8.00
2025-08-23,Lol Comercio Ii,2.00
2025-08-23,Jantinha da Caca,154.00
2025-08-22,Panificadora Distribui,8.00
2025-08-21,Panificadora Distribui,6.00
2025-08-21,Uber - NuPay,10.16
2025-08-21,99*,14.70
2025-08-20,Panificadora Distribui,8.00
2025-08-20,99*,5.10
2025-08-20,99*,10.50
2025-08-19,Lol Comercio Iii,8.50
2025-08-19,Lol Comercio Iii,3.00
2025-08-19,99*,14.40
2025-08-19,Genilsonbatista,12.00
2025-08-19,Estorno de Uber - NuPay,13.58
2025-08-19,Estorno de Uber - NuPay,-13.58
2025-08-18,"IOF de ""Openai""",0.22
2025-08-18,Openai,6.34
2025-08-15,Lol Comercio Ii,2.00
2025-08-15,Nokadoartesan,5.00
2025-08-15,Panificadora Distribui,8.00
2025-08-15,99*,13.80
2025-08-14,99*,14.90
2025-08-14,Panificadora Distribui,12.00
2025-08-13,99*,10.30
2025-08-13,99*,5.10
2025-08-13,Lol Comercio Ii,2.00
2025-08-13,Estorno de Uber - NuPay,10.53
2025-08-13,Estorno de Uber - NuPay,-10.53
2025-08-12,Uber - NuPay,10.74
2025-08-12,Lol Comercio Ii,3.00
2025-08-12,Lol Comercio Ii,2.00
2025-08-12,Genilsonbatista,12.00
2025-08-12,99*,13.40
2025-08-12,Uber - NuPay,-10.74
2025-08-11,99*,17.00
2025-08-11,Supermercado Guedes,5.49
2025-08-10,Uber - NuPay,5.25
2025-08-10,Uber - NuPay,17.96
2025-08-10,Lupasteis,18.00
2025-08-09,Ingresse Ingressos - NuPay,16.83
2025-08-09,Barbearia Area Vip,45.00
2025-08-09,Meep Pa*Bullteco,5.00
2025-08-09,iFood - NuPay,24.89
2025-08-09,Lol Comercio Ii,2.00
2025-08-08,Lol Comercio Ii,2.00
2025-08-08,Uber - NuPay,10.96
2025-08-08,"Estorno de ""Apple.Com/Bill""",-96.90
2025-08-08,Panificadora Distribui,20.50
2025-08-08,99*,12.10
2025-08-08,99*,9.60
2025-08-07,99*,10.70
2025-08-07,Apple.Com/Bill,96.90
2025-08-07,Meep Pa*Bullteco,15.00
2025-08-07,Panificadora Distribui,19.50
2025-08-07,Irmaos Bento Comercio,23.00
2025-08-07,Meep Pa*Bullteco,49.99
2025-08-07,Apple.Com/Bill,5.90
2025-08-06,Noka,5.00
2025-08-06,Lol Comercio Ii,2.00
2025-08-06,99*,12.60
2025-08-05,Panificadora Distribui,6.00
2025-08-05,99*,10.20
2025-08-05,Panificadora Distribui,19.00
2025-08-05,Genilsonbatista,12.00
2025-08-04,Estorno de Uber - NuPay,10.87
2025-08-04,Pagamento recebido,-1108.49
2025-08-04,Estorno de Uber - NuPay,-10.87
