date,title,amount
2026-01-03,Supermercado,12.98
2026-01-01,Supermercado,51.03
2025-12-31,Mercearia Leonel,3.80
2025-12-28,Wellhub Gympass Br Wel,59.90
2025-12-28,Burger King,16.90
2025-12-28,Kfc Uberlandia Mg,47.80
2025-12-27,Supermercado,9.99
2025-12-27,Ebn *Hostinger,69.99
2025-12-25,99*,11.00
2025-12-24,Lol 3q,8.50
2025-12-24,Panificadora Distribui,4.00
2025-12-24,99*,12.00
2025-12-23,99*,11.60
2025-12-23,Panificadora Distribui,4.00
2025-12-22,Smartyzrbsb,45.27
2025-12-22,99*,11.70
2025-12-22,99*,19.90
2025-12-22,99*,21.10
2025-12-21,99*,23.50
2025-12-21,99*,14.10
2025-12-21,Supermercado,5.96
2025-12-21,Duoticketltda,8.00
2025-12-21,99*,26.90
2025-12-20,Panificadora Distribui,25.90
2025-12-20,99*,11.70
2025-12-20,99*,12.40
2025-12-19,Panificadora Distribui,17.00
2025-12-19,Barbearia Area Vip,60.00
2025-12-19,99*,1.63
2025-12-19,Panificadora Distribui,8.50
2025-12-18,Mercadim,5.99
2025-12-18,Lol Cc,3.50
2025-12-18,Manasushibar,154.50
2025-12-18,Panificadora Distribui,19.00
2025-12-18,Lol Comercio Ii,4.00
2025-12-17,Panificadora Distribui,5.00
2025-12-17,Supermercado,7.99
2025-12-17,99*,12.07
2025-12-16,99*,13.50
2025-12-16,Panificadora Distribui,20.00
2025-12-16,Lol Cc,4.00
2025-12-15,99*,13.70
2025-12-15,99*,11.20
2025-12-15,Pague Menos,11.29
2025-12-15,99*,14.80
2025-12-15,Arquibancada,11.00
2025-12-15,99*,13.80
2025-12-14,Cappta *Pastelaria do,22.00
2025-12-14,Adega da Villa,6.00
2025-12-14,99*,5.80
2025-12-14,99*,12.00
2025-12-14,Arquibancada,15.00
2025-12-13,99*,12.70
2025-12-13,Panificadora Distribui,19.00
2025-12-13,Supermercado,13.99
2025-12-13,99*,14.80
2025-12-12,99*,8.60
2025-12-12,99*,14.00
2025-12-12,Panificadora Distribui,19.00
2025-12-12,Panificadora Distribui,5.00
2025-12-12,99*,5.00
2025-12-12,Lol Comercio Ii,4.00
2025-12-12,Beatriz Ultra Popular,22.48
2025-12-11,Panificadora Distribui,5.00
2025-12-11,Panificadora Distribui,19.00
2025-12-11,99*,12.60
2025-12-10,"IOF de ""Trae""",1.98
2025-12-10,Panificadora Distribui,19.00
2025-12-10,Lol Comercio Ii,9.00
2025-12-10,99*,14.50
2025-12-10,Trae,56.75
2025-12-09,Lol Comercio Ii,4.00
2025-12-09,Panificadora Distribui,17.00
2025-12-08,Estorno de Uber - NuPay,11.90
2025-12-08,99*,17.30
2025-12-08,Uber - NuPay,11.90
2025-12-08,Estorno de Uber - NuPay,-11.90
2025-12-07,99*,15.50
2025-12-07,Pague Menos,30.48
2025-12-07,iFood - NuPay,45.21
2025-12-06,Apple.Com/Bill,5.90
2025-12-06,99*,15.60
2025-12-06,Barbearia Area Vip,40.00
2025-12-06,Mercadim,5.99
2025-12-06,Lol Comercio Iii,5.00
2025-12-06,Lol Cc,9.50
2025-12-05,99*,9.50
2025-12-05,Panificadora Distribui,17.00
2025-12-05,Panificadora Distribui,3.50
2025-12-05,Pagamento recebido,-46.40
2025-12-04,Lol Comercio Ii,4.00
2025-12-04,Kvn*Assinatura Semestr - Parcela 2/5,127.49
2025-12-04,99*,12.90
2025-12-04,Hype 1000 Comercio de - Parcela 2/2,60.00
2025-12-04,Lara Xavier Resende - Parcela 2/3,93.33
2025-12-04,Panificadora Distribui,8.00
