date,title,amount
2025-10-03,Panificadora Distribui,7.00
2025-10-03,99*,12.40
2025-10-02,99*,16.80
2025-10-02,Panificadora Distribui,4.00
2025-10-01,99*,13.90
2025-10-01,Panificadora Distribui,3.50
2025-09-30,Panificadora Distribui,3.50
2025-09-30,99*,12.20
2025-09-27,Mercadim,5.99
2025-09-27,99*,13.30
2025-09-27,Panificadora Distribui,8.00
2025-09-26,Panificadora Distribui,6.00
2025-09-26,99*,9.60
2025-09-26,Mercadim,5.99
2025-09-25,Panificadora Distribui,6.00
2025-09-25,99*,11.50
2025-09-25,Panificadora Distribui,19.00
2025-09-24,Lol Cc,6.00
2025-09-24,Mercadim,7.99
2025-09-24,99*,5.30
2025-09-24,99*,10.10
2025-09-23,99*,9.50
2025-09-23,Genilsonbatista,12.00
2025-09-23,Panificadora Distribui,6.00
2025-09-23,99*,10.20
2025-09-20,99*,13.70
2025-09-20,Panificadora Distribui,20.00
2025-09-19,Panificadora Distribui,8.00
2025-09-19,Zig*Flex Bar,18.00
2025-09-19,99*,18.90
2025-09-19,Lol Comercio Ii,2.00
2025-09-19,Lol Comercio Ii,8.50
2025-09-18,Estorno de Uber - NuPay,15.42
2025-09-18,Panificadora Distribui,8.00
2025-09-18,99*,10.30
2025-09-18,Panificadora Distribui,20.00
2025-09-18,Estorno de Uber - NuPay,-15.42
2025-09-17,Panificadora Distribui,20.00
2025-09-17,Pagamento recebido,-300.00
2025-09-17,Lol Comercio Ii,6.00
2025-09-17,99*,12.20
2025-09-16,Panificadora Distribui,8.00
2025-09-16,99*,5.30
2025-09-16,Mercadim,4.49
2025-09-16,99*,16.50
2025-09-16,Mercadim,4.99
2025-09-14,Loja de Conveniencia D,9.99
2025-09-14,D Ville Supermercados,122.04
2025-09-14,99*,12.20
2025-09-14,Primebeef,140.90
2025-09-13,Panificadora Distribui,8.00
2025-09-13,Pagamento recebido,-300.00
2025-09-13,99*,12.90
2025-09-13,Panificadora Distribui,19.50
2025-09-12,99*,12.70
2025-09-12,Mercadim,10.99
2025-09-12,99*,9.90
2025-09-12,Panificadora Distribui,10.50
2025-09-12,Mercadim,5.99
2025-09-12,Panificadora Distribui,20.00
2025-09-11,99*,12.80
2025-09-11,Panificadora Distribui,10.00
2025-09-11,Lol Comercio Ii,6.00
2025-09-11,Panificadora Distribui,17.00
2025-09-10,Nosso Emporio,23.90
2025-09-10,Panificadora Distribui,22.00
2025-09-10,Mercadim,5.99
2025-09-10,Panificadora Distribui,8.00
2025-09-10,Lol Comercio Ii,6.00
2025-09-09,Genilsonbatista,12.00
2025-09-09,Estorno de Uber - NuPay,10.52
2025-09-09,99*,14.00
2025-09-09,Trae,16.93
2025-09-09,"IOF de ""Trae""",0.59
2025-09-09,Estorno de Uber - NuPay,-10.52
2025-09-08,99*,16.70
2025-09-07,99*,10.90
2025-09-07,Apollo Onze,12.00
2025-09-07,99*,7.10
2025-09-07,99negocia 05set 23h03m,4.54
2025-09-07,99*,28.40
2025-09-07,99*,9.10
2025-09-07,D Ville Supermercados,233.30
2025-09-07,G8 Bar,5.00
2025-09-07,99*,14.04
2025-09-07,Supermercado,49.27
2025-09-07,99*,10.80
2025-09-06,Lol Cc,4.00
2025-09-06,Arquibancada,15.00
2025-09-06,Arquibancada,15.00
2025-09-06,Estorno de Uber - NuPay,25.93
2025-09-06,Drogasil2184,71.67
2025-09-06,Adega da Villa,18.00
2025-09-06,Apple.Com/Bill,5.90
2025-09-06,Estorno de Uber - NuPay,16.97
2025-09-06,Estorno de Uber - NuPay,-25.93
2025-09-06,Barbearia Area Vip,55.00
2025-09-06,Lol Comercio Ii,2.00
2025-09-06,Estorno de Uber - NuPay,-16.97
2025-09-05,99*,14.50
2025-09-05,Estorno de Uber - NuPay,8.73
2025-09-05,Estorno de Uber - NuPay,-8.73
2025-09-05,"Depósito de Confiança de ""Pop 31ago 00h23min""",-7.67
2025-09-05,Mercadim,5.99
2025-09-05,Nokadoartesan,5.00
2025-09-04,Lol Comercio Ii,2.00
2025-09-04,Supermercados Bh,33.17
