date,title,amount
2025-07-03,Noka,5.00
2025-07-03,Panificadora Distribui,10.50
2025-07-03,99*,11.20
2025-07-02,Uber - NuPay,8.87
2025-07-02,Cozinha Mineira,64.00
2025-07-02,Uber - NuPay,-8.23
2025-07-02,Uber - NuPay,-8.87
2025-07-02,Supermercado,13.98
2025-07-02,Uber - NuPay,-8.78
2025-07-02,Uber - NuPay,8.78
2025-07-02,Pagamento recebido,-1061.57
2025-07-02,Uber - NuPay,8.23
2025-07-01,Uber - NuPay,-8.54
2025-07-01,Uber - NuPay,11.48
2025-07-01,Uber - NuPay,8.54
2025-06-30,Uber - NuPay,-14.24
2025-06-30,Uber - NuPay,8.49
2025-06-30,Pagamento recebido,-174.17
2025-06-30,Uber - NuPay,14.24
2025-06-28,Lol Comercio Ii,2.00
2025-06-28,Mp *Noka,5.00
2025-06-28,Mercadim,4.99
2025-06-27,Lol Comercio Ii,6.00
2025-06-27,Uber - NuPay,10.72
2025-06-27,Uber - NuPay,11.21
2025-06-27,Mercadim,4.99
2025-06-27,Mp *Noka,5.00
2025-06-27,Mercadim,4.99
2025-06-27,Uber - NuPay,-11.21
2025-06-26,Uber - NuPay,8.49
2025-06-26,Mercadim,4.99
2025-06-26,Lol Comercio Ii,6.00
2025-06-26,Mercadim,12.98
2025-06-25,Panificadora Distribui,16.00
2025-06-25,Uber - NuPay,8.30
2025-06-24,Uber - NuPay,12.70
2025-06-24,Mercadim,4.99
2025-06-24,Uber - NuPay,-9.70
2025-06-24,Beatriz Ultra Popular,8.48
2025-06-24,Uber - NuPay,14.23
2025-06-24,Lol Comercio Ii,9.50
2025-06-24,Uber - NuPay,9.70
2025-06-24,Mercadim,4.99
2025-06-24,Uber - NuPay,-12.70
2025-06-24,Uber - NuPay,8.57
2025-06-23,Balas e Cia,20.00
2025-06-23,Uber - NuPay,18.92
2025-06-23,Uber - NuPay,7.91
2025-06-22,Jaquetascouro,10.00
2025-06-22,Jaquetascouro,8.00
2025-06-22,Cristiane de Oliveira,20.00
2025-06-21,Brasileirinho,19.99
2025-06-20,Gobbipadariae,12.98
2025-06-20,Brasileirinho,20.99
2025-06-19,Gr Bernardes Pizzas,134.00
2025-06-19,Barbearia Area Vip,35.00
2025-06-19,Maria Aparecida Perei,83.51
2025-06-19,Uber - NuPay,9.94
2025-06-19,Cozinha Mineira,28.00
2025-06-19,Maria Aparecida Perei,83.51
2025-06-19,Uber - NuPay,10.92
2025-06-18,Uber - NuPay,9.98
2025-06-18,Uber - NuPay,6.73
2025-06-18,Uber - NuPay,-9.98
2025-06-18,Uber - NuPay,9.99
2025-06-18,Panificadora Distribui,23.90
2025-06-18,Uber - NuPay,14.39
2025-06-17,Drogasil2184,85.51
2025-06-17,Lol Comercio Ii,6.00
2025-06-17,Uber - NuPay,8.89
2025-06-16,Uber - NuPay,-9.86
2025-06-16,Uber - NuPay,9.18
2025-06-16,Uber - NuPay,9.86
2025-06-15,Uber - NuPay,9.16
2025-06-15,Meep Pa*Flash Light Ne,42.00
2025-06-15,Lupasteis,23.00
2025-06-15,Adega,78.00
2025-06-14,Uber - NuPay,7.13
2025-06-14,Panificadora Distribui,15.00
2025-06-13,Noka,5.00
2025-06-13,Uber - NuPay,6.56
2025-06-13,Ingressolive,12.69
2025-06-13,Arquibancada,15.00
2025-06-13,Adega,44.00
2025-06-13,Adega,34.00
2025-06-12,Uber - NuPay,6.78
